title,is_productive
The corpse flower may keep you up at night - Daniel Nickrent,yes
How does alcohol cause blackouts? - Shannon Odell,yes
The real reason dodo birds went extinct - Leon Claessens,yes
Would you raise the baby that ate your siblings? - Francesca Barbero,yes
How to know if you're being selfish (and whether or not that's bad) - Mark Hopwood,yes
"History vs. Egypt’s ""most powerful"" pharaoh - Jessica Tomkins",yes
How much would it cost to buy the ocean? - Astrid J. Hsu,yes
Why is rice so popular? - Carolyn Beans,yes
Are pandas the most misunderstood animal? - Lucy Cooke,yes
Why is Texas hold 'em so popular? - James McManus,yes
How to get motivated even when you don’t feel like it,yes
The science of laughter - Sasha Winkler,yes
Does planting trees actually cool the planet? - Carolyn Beans,yes
How does whale communication work? - David Gruber and Shane Gero,yes
The largest river on Earth is actually in the sky - Iseult Gillespie,yes
The rights you might not realize you have - Shannon Odell,yes
"How did South African Apartheid happen, and how did it finally end? - Thula Simpson",yes
How to make smart decisions more easily,yes
The diseases that changed humanity forever - Dan Kwartler,yes
What killed all the bison? - Andrew C. Isenberg,yes
Where did these gigantic space bubbles come from? - Ashkbiz Danehkar,yes
The gory history of barber surgeons - Stephanie Honchell Smith,yes
The most devastating asteroid to hit Earth - Sean P. S. Gulick,yes
Can you solve a mystery before Sherlock Holmes? - Alex Rosenthal,yes
Can you solve the secret assassin society riddle? - Alex Rosenthal,yes
What really caused the Irish Potato Famine - Stephanie Honchell Smith,yes
Japan's scariest ghost story - Kit Brooks,yes
The dark history of werewolves - Craig Thomson,yes
A tour of the ancient Greek Underworld - Iseult Gillespie,yes
How to overcome your mistakes,yes
Confused about recycling? It’s not your fault - Shannon Odell,yes
3 tips on how to study effectively,yes
How you survive the coldest place on Earth - Nadia Frontier,yes
What would happen if everyone stopped eating meat tomorrow? - Carolyn Beans,yes
Ethical dilemma: What makes life worth living? - Douglas MacLean,yes
The plot to overthrow the Inca Empire - Gabriel Prieto,yes
Why mosquitoes bite some people more than others - Maria Elena De Obaldia,yes
Why were scientists so obsessed with these frogs? - Carly Anne York,yes
Why is this painting of a black square famous? - Allison Leigh,yes
What happens when you fall into piranha-infested waters? - Antonio Machado-Allison,yes
Can you change your sleep schedule?,yes
Can you solve the cursed dice riddle? - Dan Finkel,yes
This is what happens when you hit the gas - Shannon Odell,yes
Why is it so hard to break a bad habit?,yes
The one thing stopping jellyfish from taking over - Mariela Pajuelo & Javier Antonio Quinones,yes
Can alligators survive this apex predator? - Kenny Coogan,yes
Is plant-based meat actually better for you? - Carolyn Beans,yes
"A 5,300-year-old murder mystery - Albert Zink",yes
How the water you flush becomes the water you drink - Francis de los Reyes,yes
Why is everyone fighting over these tiny spots of space? - Fabio Pacucci,yes
What happens if you don’t put your phone in airplane mode? - Lindsay DeMarchi,yes
Why your phone battery gets worse over time - George Zaidan,yes
How dangerous was it to be a jester? - Beatrice K. Otto,yes
How to enter flow state,yes
3 questions to ask yourself before you believe something - Siska De Baerdemaeker,yes
The rise and fall of Italy’s warriors-for-hire - Stephanie Honchell Smith,yes
One of history's most dangerous myths - Anneliese Mehnert,yes
What's happening to Earth's core? - Shannon Odell,yes
Can other animals understand death? - Barbara J. King,yes
Can you solve the time traveling car riddle? - Dan Finkel,yes
Why did Megalodon go extinct? - Jack Cooper and Catalina Pimiento,yes
Gravity vs. Pressure: The battle that formed the universe - Fabio Pacucci,yes
What caused the Rwandan Genocide? - Susanne Buckley-Zistel,yes
Should you switch to solar? - Shannon Odell,yes
Why is Marie Antoinette so controversial? - Carolyn Harris,yes
Who is the fastest god in all mythology? - Iseult Gillespie,yes
What it means if you can see faces in objects - Susan G. Wardle,yes
What did people do before anesthesia? - Sally Frampton,yes
Food expiration dates don’t mean what you think - Carolyn Beans,yes
Test yourself: Can you tell the difference between music and noise? - Hanako Sawada,yes
How (and why) to read William Faulkner - Sascha Morrell,yes
Can you outsmart Fate and break her ancient curse? - Dan Finkel,yes
We can prevent the next epidemic - George Zaidan,yes
Is it normal to talk to yourself?,yes
The strangest summer in recorded history - David Biello,yes
Why were there three popes at the same time? - Joëlle Rollo-Koster,yes
Humans are all almost exactly the same... almost - Greg Foot,yes
The rise and fall of the Mughal Empire - Stephanie Honchell Smith,yes
Why do we have crooked teeth when our ancestors didn’t? - G. Richard Scott,yes
The records the British Empire didn't want you to see - Audra A. Diptée,yes
"The return of Mongolia's ""wild"" horses - Nigel Rothfels",yes
Why do we eat popcorn at the movies? - Andrew Smith,yes
Whatever happened to the hole in the ozone layer? - Stephanie Honchell Smith,yes
What is a fecal microbial transplant? - Kathryn M. Stephenson and David L. Suskind,yes
The Hawaiian story of the wind keepers - Sydney Iaukea,yes
How does this all-female species reproduce? - Susana Freitas and Darren Parker,yes
Is AI the most important technology of the century?,yes
How stretching actually changes your muscles - Malachy McHugh,yes
This one weird trick will get you infinite gold - Dan Finkel,yes
"Puke, poop and tiny cockroaches: How the leafcutter ant queen runs her farm - Charles Wallace",yes
A day in the life of a teenager in medieval Baghdad - Birte Kristiansen and Petra Sijpesteijn,yes
The man who lost his sense of touch - Antonio Cataldo,yes
What happens if an engineered virus escapes the lab?,yes
How the Mongols used horses to create an empire - William T. Taylor,yes
6 myths about the Middle Ages that everyone believes - Stephanie Honchell Smith,yes
The continents are moving. When will they collide? - Jean-Baptiste P. Koehl,yes
What if you experienced every human life in history?,yes
What happens when the Arctic permafrost melts? - Brendan Rogers and Jessica Howard,yes
One of the most banned books of all time - Mollie Godfrey,yes
How to manage your emotions,yes
Can you freeze your body and come back to life? - Shannon N. Tessier,yes
How do airplanes actually fly? - Raymond Adkins,yes
"One of the most ""dangerous"" men in American history - Keenan Norris",yes
"What is Juneteenth, and why is it important? - Karlos K. Hill and Soraya Field Fiorio",yes
Ethical dilemma: Should we get rid of mosquitoes? - Talya Hackett,yes
Can you steal the most powerful wand in the wizarding world? - Dan Finkel,yes
How to deal with rejection,yes
When are you actually an adult? - Shannon Odell,yes
Mao Zedong's infamous mango cult - Vivian Jiang,yes
What’s worse than a wasp’s sting? Murder - Miles Zhang,yes
What makes Thomas Jefferson so controversial? - Frank Cogliano,yes
Why are beavers obsessed with dams? - Glynnis Hood,yes
Why do you want to squeeze cute things? - Joshua Paul Dale,yes
3 ways to end a virus,yes
What sex ed doesn’t tell you about your brain - Shannon Odell,yes
The best way to apologize (according to science),yes
Zumbi: The last king of Palmares - Marc Adam Hertzman & Flavio dos Santos Gomes,yes
The science of falling in love - Shannon Odell,yes
How will AI change the world?,yes
Is this the most beautiful building in the world? - Stephanie Honchell Smith,yes
How do we create a better economy?,yes
Why plague doctors wore beaked masks,yes
4 things all great listeners know,yes
Lesson 1: What are ideas?,yes
The sibling rivalry that divided a town - Jay Van Bavel and Dominic Packer,yes
How do oysters make pearls? - Rob Ulrich,yes
Will there be another pandemic in your lifetime?,yes
Ethical dilemma: Whose life is more valuable? - Rebecca L. Walker,yes
Could this technology end all viruses?,yes
Is capitalism actually broken?,yes
Why you procrastinate even when it feels bad,yes
"Gibberish, urine, and utter chaos: What happens when you sleepwalk - Emmanuel During",yes
Why is it so hard to cure the common cold?,yes
What’s the smartest age? - Shannon Odell,yes
How did they build the Great Pyramid of Giza? - Soraya Field Fiorio,yes
Is inequality inevitable?,yes
What does the world's largest machine do? - Henry Richardson,yes
Should you care what your parents think?,yes
The myth of Pegasus and the chimera - Iseult Gillespie,yes
Can you solve the alien pyramid riddle? - Henri Picciotto,yes
Is it possible to lose weight fast? - Hei Man Chan,yes
These companies with no CEO are thriving,yes
How friendship affects your brain - Shannon Odell,yes
The myth of Zeus' test - Iseult Gillespie,yes
The benefits of daydreaming - Elizabeth Cox,yes
Plato's allegory of the ring - Alex Gendler,yes
What is a gig economy?,yes
Would you pass the wallet test?,yes
"Coneheads, egg stacks and anteater attacks: The reign of a termite queen - Barbara L. Thorne",yes
The Boltzmann brain paradox - Fabio Pacucci,yes
The secret formula to Agatha Christie's murder mysteries - Jamie Bernthal,yes
Why did Phillis Wheatley disappear? - Charita Gainey,yes
Can the economy grow forever?,yes
The rise and fall of the medieval Islamic Empire - Petra Sijpesteijn & Birte Kristiansen,yes
Can you guess what's wrong with these paintings? - Noah Charney,yes
A brief history of Spanish - Ilan Stavans,yes
Why a sausage can do what your gloves cannot - Charles Wallace and Sajan Saini,yes
This weird trick will help you summon an army of worms - Kenny Coogan,yes
The true cost of gold - Lyla Latif,yes
The 4 greatest threats to the survival of humanity,yes
"What causes yeast infections, and how do you get rid of them? - Liesbeth Demuyser",yes
Hagfish: The world's slimiest creatures - Noah R. Bressman and Douglas Fudge,yes
The smallest solution to one of our biggest problems - Tierney Thys & Christian Sardet,yes
How does alcohol cause hangovers? - Judy Grisel,yes
What’s the best country to live in?,yes
What happens to your body at the top of Mount Everest - Andrew Lovering,yes
Why can parrots talk? - Grace Smith-Vidaurre and Tim Wright,yes
What do dumplings look like around the world?- Miranda Brown,yes
Artemisia Gentileschi: The woman behind the paintings - Allison Leigh,yes
"These animals are also plants … wait, what? - Luka Seamus Wright",yes
What is the rarest color in nature? - Victoria Hwang,yes
Can you outsmart the college admissions fallacy? - Elizabeth Cox,yes
Ethical dilemma: Would you lie? - Sarah Stroud,yes
Can you solve the fortress riddle? - Henri Picciotto,yes
Ugly History: The Khmer Rouge murders - Timothy Williams,yes
How does heart transplant surgery work? - Roni Shanoada,yes
Why are eating disorders so hard to treat? - Anees Bahji,yes
Ugly History: The El Mozote murders - Diana Sierra Becerra,yes
Do tax cuts stimulate the economy? - Jonathan Smith,yes
The biggest mistakes in mapmaking history - Kayla Wolf,yes
The Irish myth of Diarmuid’s betrayal - Iseult Gillespie,yes
How the Suez Canal changed the world - Lucia Carminati,yes
The Chinese myth of the forbidden lovers - Shannon Zhao,yes
Can you solve the private eye riddle? - Henri Picciotto,yes
The dark history of zombies - Christopher M. Moreman,yes
Why are cockroaches so hard to kill? - Ameya Gondhalekar,yes
The myth of Hades and Persephone - Iseult Gillespie,yes
Ethical dilemma: Who should you believe? - Alex Worsnip,yes
Watch this if you're scared of snakes - Andrew Whitworth,yes
History vs. Tamerlane the Conqueror - Stephanie Honchell Smith,yes
Are the Northern Lights dangerous? - Fabio Pacucci,yes
A riddle of ice and fire dragons - Henri Picciotto,yes
The Chinese legend of the butterfly lovers - Lijun Zhang,yes
How do you know you’re not dreaming? - Daniel Gregory,yes
4 signs of emotional abuse - Viann Nguyen-Feng,yes
How pigeons took over the world - Elizabeth Carlen and Joanna Moles,yes
The movement that inspired the Holocaust - Alexandra Minna Stern and Natalie Lira,yes
The myth of the moon goddess - Cynthia Fay Davis,yes
Is soy bad for you? - Francesca Bot,yes
Why are US cities still so segregated? - Kevin Ehrman-Solberg and Kirsten Delegard,yes
Can you solve the Big Bang riddle? - James Tanton,yes
Building the impossible: Golden Gate Bridge - Alex Gendler,yes
The dark history of the overthrow of Hawaii - Sydney Iaukea,yes
The myth of Narcissus and Echo - Iseult Gillespie,yes
Why doesn't everyone have a jetpack? - Richard Browning,yes
What is “normal” and what is “different”? - Yana Buhrer Tavanier,yes
The myth of Gawain and the Green Knight - Dan Kwartler,yes
Can you outsmart the fallacy that divided a nation? - Elizabeth Cox,yes
"The myth of Anansi, the trickster spider - Emily Zobel Marshall",yes
Which animal has the best eyesight? - Thomas W. Cronin,yes
Can you solve the birthday cake riddle? - Marie Brodsky,yes
The tragic myth of the Sun God's son - Iseult Gillespie,yes
Why do cats have vertical pupils? - Emma Bryce,yes
Why is it so hard to escape poverty? - Ann-Helén Bay,yes
The myth of Loki’s monstrous children - Iseult Gillespie,yes
Why is the Mona Lisa so famous? - Noah Charney,yes
"Blood, concrete, and dynamite: Building the Hoover Dam - Alex Gendler",yes
You can only save one— who do you choose? - Doug MacKay,yes
The dark history of Mount Rushmore - Ned Blackhawk and Jeffrey D. Means,yes
Would you raise the bird that murdered your children? - Steve Rothstein,yes
How one of the most profitable companies in history rose to power - Adam Clulow,yes
"Yes, scientists are actually building an elevator to space - Fabio Pacucci",yes
Can stereotypes ever be good? - Sheila Marie Orfano and Densho,yes
Why do your jeans wear out so quickly? - Madhavi Venkatesan,yes
The wild sex lives of marine creatures - Luka Seamus Wright,yes
Can you solve the human cannonball riddle? - Alex Rosenthal,yes
Nature's fortress: How cacti keep water in and predators out - Lucas C. Majure,yes
How to write comedy - Jodie Houlston-Lau,yes
The twins who tricked the Maya gods of death - Ilan Stavans,yes
The sleep disorder you might not know you have - Alayna Vaughan,yes
Just add water: The garden insect that can turn into a plague - Jeffrey A. Lockwood,yes
"How to get better at video games, according to babies - Brian Christian",yes
The Norse myth that inspired “The Lord of the Rings” - Iseult Gillespie,yes
The surprisingly long history of electric cars - Daniel Sperling and Gil Tal,yes
Why are scientists obsessed with the Black Sea? - Helen Farr and Jon Adams,yes
Can you solve the computer virus riddle? - James Tanton,yes
Why don’t we cover the desert with solar panels? - Dan Kwartler,yes
"Zora Neale Hurston's ""Their Eyes Were Watching God"" - Tanya Boucicaut",yes
Where will you be able to live in 20 years? - Carol Farbotko and Ingrid Boas,yes
What happened to the lost Kingdom of Kush? - Geoff Emberling,yes
The genes you don't get from your parents (but can't live without) - Devin Shuman,yes
The surprising origins of the word “lesbian” - Diane J. Rayor,yes
How a concubine became the ruler of Egypt - Abdallah Ewis,yes
Can you solve the rogue submarine riddle? - Alex Rosenthal,yes
The secrets of the world’s most famous symphony - Hanako Sawada,yes
You could have a secret twin (but not the way you think) - Kayla Mandel Sheets,yes
"Earth's mysterious red glow, explained - Zoe Pierrat",yes
What makes a language... a language? - Martin Hilpert,yes
The rise and fall of the Lakota Empire - Pekka Hämäläinen,yes
"What is MSG, and is it actually bad for you? - Sarah E. Tracy",yes
The infamous overpopulation bet: Simon vs. Ehrlich - Soraya Field Fiorio,yes
Is this the most successful animal ever? - Nigel Hughes,yes
How we can detect pretty much anything - Hélène Morlon and Anna Papadopoulou,yes
Can you outsmart the slippery slope fallacy? - Elizabeth Cox,yes
How the COVID-19 vaccines were created so quickly - Kaitlyn Sadtler and Elizabeth Wayne,yes
The secret society of the Great Dismal Swamp - Dan Sayers,yes
Can you solve the giant spider riddle? - Dan Finkel,yes
"The method that can ""prove"" almost anything - James A. Smith",yes
"What causes seizures, and how can we treat them? - Christopher E. Gaw",yes
Iceland's secret power - Jean-Baptiste P. Koehl,yes
A year in the life of one of Earth's weirdest animals - Gilad Bino,yes
The rise and fall of the Kingdom of Man - Andrew McDonald,yes
The paradox at the heart of mathematics: Gödel's Incompleteness Theorem - Marcus du Sautoy,yes
Why can’t governments print an unlimited amount of money? - Jonathan Smith,yes
The most notorious scientific feud in history - Lukas Rieppel,yes
History's deadliest king - by Georges Nzongola-Ntalaja,yes
Could we build a wooden skyscraper? - Stefan Al,yes
The dark history of the Chinese Exclusion Act - Robert Chang,yes
What you can do with an extra jaw - Darien Satterfield,yes
"How one person saved over 2,000 children from the Nazis - Iseult Gillespie",yes
Can you cheat death by solving this riddle? - Shravan S K,yes
Axolotls: The salamanders that snack on each other (but don't die) - Luis Zambrano,yes
Why was India split into two countries? - Haimanti Roy,yes
"What few people know about the program that ""saved"" America - Meg Jacobs",yes
A brief history of toilets - Francis de los Reyes,yes
The sharks that hunt in forests - Luka Seamus Wright,yes
How do you know what's true? - Sheila Marie Orfano,yes
Ugly History: The U.S. Syphilis Experiment - Susan M. Reverby,yes
A day in the life of the oracle of Delphi - Mark Robinson,yes
Why do we have hair in such random places? - Nina G. Jablonski,yes
"The epic of Gilgamesh, the king who tried to conquer death - Soraya Field Fiorio",yes
Can you solve the Trojan War riddle? - Dennis E. Shasha,yes
Could you survive the real Twilight Zone? - Philip Renaud and Kenneth Kostel,yes
The woman who stared at the sun - Alex Gendler,yes
"Run, sail, or hide? How to survive the destruction of Pompeii - Gary Devore",yes
Can you be awake and asleep at the same time? - Masako Tamaki,yes
What happens to your brain during a migraine - Marianne Schwarz,yes
Should you donate your DNA to help cure diseases? - Greg Foot,yes
What really happened during the Attica Prison Rebellion - Orisanmi Burton,yes
What’s in the air you breathe? - Amy Hrdina and Jesse Kroll,yes
How one design flaw almost toppled a skyscraper - Alex Gendler,yes
How to get a word added to the dictionary - Ilan Stavans,yes
"Meet the bluefin tuna, the toughest fish in the sea - Grantly Galland and Raiana McKinney",yes
How long should your naps be? - Sara C. Mednick,yes
"Demolition, disease, and death: Building the Panama Canal - Alex Gendler",yes
Can you solve Dongle's Difficult Dilemma? - Dennis E. Shasha,yes
How do wind turbines work? - Rebecca J. Barthelmie and Sara C. Pryor,yes
How the world’s tallest skyscraper was built - Alex Gendler,yes
The world’s most painful insect sting - Justin Schmidt,yes
Why are airplanes slower than they used to be? - Alex Gendler,yes
Whatever happened to acid rain? - Joseph Goffman,yes
This tool will help improve your critical thinking - Erick Wilberding,yes
The surprising secrets of hummingbird flight - Kristiina J. Hurme and Alejandro Rico-Guevara,yes
Why good ideas get trapped in the valley of death— and how to rescue them,yes
Can you outsmart the apples and oranges fallacy? - Elizabeth Cox,yes
How to see with sound - Jacques S. Abramowicz,yes
A brief history of the devil - Brian A. Pavlac,yes
Why every world map is wrong - Kayla Wolf,yes
Can you solve the fantasy election riddle? - Dennis E. Shasha,yes
Ugly History: The Spanish Inquisition - Kayla Wolf,yes
4 different ways you can power a car,yes
How do antidepressants work? - Neil R. Jeyasingam,yes
How much land does it take to power the world?,yes
The best nose in the animal kingdom - Chase LaDue & Bruce A. Schulte,yes
How does artificial intelligence learn? - Briana Brownell,yes
How much electricity does it take to power the world?,yes
"Who were Las Mariposas, and why were they murdered? - Lisa Krause",yes
"How would you finish the sentence, “Imagine if…”? - Sir Ken Robinson",yes
Can loud music damage your hearing? - Heather Malyuk,yes
The material that could change the world... for a third time,yes
Debunking the myth of the Lost Cause: A lie embedded in American history - Karen L. Cox,yes
Can you solve the demon dance party riddle? - Edwin Meyer,yes
How scientists turn lakes into giant batteries,yes
"Why do we, like, hesitate when we, um, speak? - Lorenzo García-Amaya",yes
The “myth” of the boiling frog,yes
The satisfying math of folding origami - Evan Zodl,yes
"What causes dandruff, and how do you get rid of it? - Thomas L. Dawson",yes
Uncovering the brain's biggest secret - Melanie E. Peffer,yes
"Why didn’t this 2,000 year old body decompose? - Carolyn Marshall",yes
What if every satellite suddenly disappeared? - Moriba Jah,yes
The world’s most dangerous fart - Nick Caruso and Dani Rabaiotti,yes
When did humans start getting divorced? - Rod Phillips,yes
Why bats don't get sick - Arinjay Banerjee,yes
The Japanese myth of the trickster raccoon - Iseult Gillespie,yes
The rise of the Ottoman Empire - Mostafa Minawi,yes
Who decides how long a second is? - John Kitching,yes
We can help you master public speaking - Chris Anderson,yes
Savitri and Satyavan: The legend of the princess who outwitted Death - Iseult Gillespie,yes
"These squids can fly... no, really - Robert Siddall",yes
A day in the life of an ancient Babylonian business mogul - Soraya Field Fiorio,yes
Why should you read Toni Morrison’s “Beloved”? - Yen Pham,yes
The life cycle of a cup of coffee - A.J. Jacobs,yes
Do personality tests work? - Merve Emre,yes
The strange history of the world's most stolen painting - Noah Charney,yes
The spear-wielding stork who revolutionized science - Lucy Cooke,yes
What happens when you die? A poetic inquiry,yes
This thought experiment will help you understand quantum mechanics - Matteo Fadel,yes
Building the world's largest (and most controversial) power plant - Alex Gendler,yes
Can you solve the monster duel riddle? - Alex Gendler,yes
The world’s largest organism - Alex Rosenthal,yes
The most colorful gemstones on Earth - Jeff Dekofsky,yes
The myth of Loki and the deadly mistletoe - Iseult Gillespie,yes
Why is pneumonia so dangerous? - Eve Gaus and Vanessa Ruiz,yes
Which bag should you use? - Luka Seamus Wright and Imogen Ellen Napper,yes
Can you solve the Alice in Wonderland riddle? - Alex Gendler,yes
How fast is the speed of thought? - Seena Mathew,yes
Why do you get a fever when you're sick? - Christian Moro,yes
How do investors choose stocks? - Richard Coffin,yes
How do steroids affect your muscles— and the rest of your body? - Anees Bahji,yes
"The other ""Golden Rule"" - David L. Hu",yes
The dark history of bananas - John Soluri,yes
Can you outsmart a troll (by thinking like one)? - Claire Wardle,yes
What if there were 1 trillion more trees? - Jean-François Bastin,yes
Can you outsmart the fallacy that started a witch hunt? - Elizabeth Cox,yes
The hidden treasures of Timbuktu - Elizabeth Cox,yes
Which type of milk is best for you? - Jonathan J. O’Sullivan & Grace E. Cunningham,yes
Could we steal the power of a black hole? - Fabio Pacucci,yes
The rise and fall of history’s first empire - Soraya Field Fiorio,yes
Can you solve the riddle and escape Hades? - Dan Finkel,yes
"Can we create the ""perfect"" farm? - Brent Loken",yes
"What causes panic attacks, and how can you prevent them? - Cindy J. Aaronson",yes
"Who owns the ""wilderness""? - Elyse Cox",yes
The myth of the stolen eyeballs - Nathan D. Horowitz,yes
The surprising effects of pregnancy,yes
The problem with the U.S. bail system - Camilo Ramirez,yes
How to perform brain surgery without making a single cut - Hyunsoo Joshua No,yes
"The World Machine | Think Like A Coder, Ep 10",yes
Is human evolution speeding up or slowing down? - Laurence Hurst,yes
Is life meaningless? And other absurd questions - Nina Medvinskaya,yes
"""Jabberwocky"": One of literature's best bits of nonsense",yes
A day in the life of an ancient Greek architect - Mark Robinson,yes
The Japanese folktale of the selfish scholar - Iseult Gillespie,yes
A brief history of plastic,yes
Are all of your memories real? - Daniel L. Schacter,yes
Why people fall for misinformation - Joseph Isaac,yes
Can you solve the sorting hat riddle? - Dan Katz and Alex Rosenthal,yes
The fish that walk on land - Noah R. Bressman,yes
How to outsmart the Prisoner’s Dilemma - Lucas Husted,yes
Is the weather actually becoming more extreme? - R. Saravanan,yes
Evolution’s great mystery - Michael Corballis,yes
The rise of modern populism - Takis S. Pappas,yes
Can the ocean run out of oxygen? - Kate Slabosky,yes
What’s that ringing in your ears? - Marc Fagelson,yes
The last living members of an extinct species - Jan Stejskal,yes
Can you solve the cheating royal riddle? - Dan Katz,yes
Can you outsmart the fallacy that fooled a generation of doctors? - Elizabeth Cox,yes
The myth of Ireland's two greatest warriors - Iseult Gillespie,yes
"The big-beaked, rock-munching fish that protect coral reefs - Mike Gil",yes
Newton’s three-body problem explained - Fabio Pacucci,yes
Can you solve the honeybee riddle? - Dan Finkel,yes
Ethical dilemma: The burger murders - George Siedel and Christine Ladwig,yes
No one can figure out how eels have sex - Lucy Cooke,yes
How do our brains process speech? - Gareth Gaskell,yes
"The myth of Jason, Medea, and the Golden Fleece - Iseult Gillespie",yes
The rise and fall of the Celtic warriors - Philip Freeman,yes
The Egyptian myth of the death of Osiris - Alex Gendler,yes
The race to decode a mysterious language - Susan Lupack,yes
Volcanic eruption explained - Steven Anderson,yes
What happened when the United States banned alcohol - Rod Phillips,yes
The tale of the boy who tricked the Devil - Iseult Gillespie,yes
The greatest mathematician that never lived - Pratik Aghor,yes
The last chief of the Comanches and the fall of an empire - Dustin Tahmahkera,yes
Can you solve the Ragnarok riddle? - Dan Finkel,yes
What do all languages have in common? - Cameron Morin,yes
First person vs. Second person vs. Third person - Rebekah Bergman,yes
"The Factory | Think Like A Coder, Ep 9",yes
A day in the life of a teenage samurai - Constantine N. Vaporis,yes
What yoga does to your body and brain - Krishna Sudhir,yes
Can steroids save your life? - Anees Bahji,yes
How fast can a vaccine be made? - Dan Kwartler,yes
Which voting system is the best? - Alex Gendler,yes
What can DNA tests really tell us about our ancestry? - Prosanta Chakrabarty,yes
How to see more and care less: The art of Georgia O'Keeffe - Iseult Gillespie,yes
“What happened when we all stopped” narrated by Jane Goodall,yes
A day in the life of a Peruvian shaman - Gabriel Prieto,yes
When is a pandemic over?,yes
Why the @#$% is there so much traffic? - Benjamin Seibold,yes
